lid,rid
71381,151167
329119,462406
411167,797640
800599,1034170
404990,1123959
429391,676567
201790,231065
418275,1101629
189336,473033
139434,310718
372165,1065772
521874,676431
724654,1103363
338228,972991
303124,864809
800439,1192600
1011370,1195678
494609,524809
117265,1169011
117265,374076
117265,963483
374076,1169011
963483,1169011
374076,963483
404230,1159726
420746,1148338
708221,986179
47803,859285
116509,158969
376471,409715
846766,1087353
6268,485001
372805,564072
366618,543802
803954,1118157
922849,1140300
573585,844855
155976,844575
241468,1099371
378820,1167499
974153,1150190
509408,1207849
385789,545058
909904,942020
486796,807816
161701,309659
378496,1119533
884106,1191781
29775,861401
385301,447829
490323,775265
567638,658420
84154,130268
649003,671121
98921,323761
98921,923173
98921,1000736
98921,234753
323761,923173
323761,1000736
234753,323761
923173,1000736
234753,923173
234753,1000736
223434,279619
1147640,1196184
749745,949231
317103,1081884
79658,418290
422113,848966
810967,855054
2244,454415
275551,810364
139053,1062551
773241,825973
571388,672110
481647,1111763
479820,1111763
382042,1111763
650658,1111763
310697,1111763
522756,1111763
479820,481647
382042,481647
481647,650658
310697,481647
481647,522756
382042,479820
479820,650658
310697,479820
479820,522756
382042,650658
310697,382042
382042,522756
310697,650658
522756,650658
310697,522756
642539,1134202
447640,901003
459383,1026283
432880,1159273
83514,594353
614766,870495
208008,257059
370486,1167210
370486,1115910
370486,1099381
370486,757704
370486,675835
370486,966235
370486,1082548
370486,702173
370486,689358
286055,370486
370486,974408
148631,370486
370486,543647
1115910,1167210
1099381,1167210
757704,1167210
675835,1167210
966235,1167210
1082548,1167210
702173,1167210
689358,1167210
286055,1167210
974408,1167210
148631,1167210
543647,1167210
1099381,1115910
757704,1115910
675835,1115910
966235,1115910
1082548,1115910
702173,1115910
689358,1115910
286055,1115910
974408,1115910
148631,1115910
543647,1115910
757704,1099381
675835,1099381
966235,1099381
1082548,1099381
702173,1099381
689358,1099381
286055,1099381
974408,1099381
148631,1099381
543647,1099381
675835,757704
757704,966235
757704,1082548
702173,757704
689358,757704
286055,757704
757704,974408
148631,757704
543647,757704
675835,966235
675835,1082548
675835,702173
675835,689358
286055,675835
675835,974408
148631,675835
543647,675835
966235,1082548
702173,966235
689358,966235
286055,966235
966235,974408
148631,966235
543647,966235
702173,1082548
689358,1082548
286055,1082548
974408,1082548
148631,1082548
543647,1082548
689358,702173
286055,702173
702173,974408
148631,702173
543647,702173
286055,689358
689358,974408
148631,689358
543647,689358
286055,974408
148631,286055
286055,543647
148631,974408
543647,974408
148631,543647
607966,795727
945616,1119211
413184,1119211
786727,1119211
1022702,1119211
304308,1119211
1119211,1151387
1119211,1137173
843707,1119211
413184,945616
786727,945616
945616,1022702
304308,945616
945616,1151387
945616,1137173
843707,945616
413184,786727
413184,1022702
304308,413184
413184,1151387
413184,1137173
413184,843707
786727,1022702
304308,786727
786727,1151387
786727,1137173
786727,843707
304308,1022702
1022702,1151387
1022702,1137173
843707,1022702
304308,1151387
304308,1137173
304308,843707
1137173,1151387
843707,1151387
843707,1137173
270661,666696
649784,1107100
679765,931624
93132,440338
62927,643950
620270,1158765
448047,634507
278631,537236
421049,498680
454372,498680
421049,454372
575436,729145
97426,929992
425782,684420
1011935,1079303
154352,440689
17570,52113
1113549,1167733
620929,1070961
466923,892699
943549,954147
531664,836388
876089,1067672
338045,748183
744732,767799
504914,767799
767799,893889
767799,783340
767799,1069116
767799,796517
767799,1166277
374403,767799
446415,767799
489468,767799
504914,744732
744732,893889
744732,783340
744732,1069116
744732,796517
744732,1166277
374403,744732
446415,744732
489468,744732
504914,893889
504914,783340
504914,1069116
504914,796517
504914,1166277
374403,504914
446415,504914
489468,504914
783340,893889
893889,1069116
796517,893889
893889,1166277
374403,893889
446415,893889
489468,893889
783340,1069116
783340,796517
783340,1166277
374403,783340
446415,783340
489468,783340
796517,1069116
1069116,1166277
374403,1069116
446415,1069116
489468,1069116
796517,1166277
374403,796517
446415,796517
489468,796517
374403,1166277
446415,1166277
489468,1166277
374403,446415
374403,489468
446415,489468
22993,715180
172345,522146
244060,385084
526666,910717
647215,917223
119215,916960
119215,1000797
916960,1000797
270399,349296
241208,568620
600922,782206
597075,906752
347475,1139173
369253,781486
605311,1072391
32217,142535
155221,883644
1030776,1090924
6363,167972
166386,427160
773117,796439
756110,1066178
641326,977238
509986,977849
96629,386876
473804,810881
1089100,1184167
230477,427034
292675,674445
637302,1001898
219138,587066
587066,834826
219138,834826
356071,1033086
88396,1033086
467265,1033086
635762,1033086
111675,1033086
895242,1033086
31931,1033086
1033086,1064412
410735,1033086
1033086,1131810
88396,356071
356071,467265
356071,635762
111675,356071
356071,895242
31931,356071
356071,1064412
356071,410735
356071,1131810
88396,467265
88396,635762
88396,111675
88396,895242
31931,88396
88396,1064412
88396,410735
88396,1131810
467265,635762
111675,467265
467265,895242
31931,467265
467265,1064412
410735,467265
467265,1131810
111675,635762
635762,895242
31931,635762
635762,1064412
410735,635762
635762,1131810
111675,895242
31931,111675
111675,1064412
111675,410735
111675,1131810
31931,895242
895242,1064412
410735,895242
895242,1131810
31931,1064412
31931,410735
31931,1131810
410735,1064412
