id,brand,cpu_brand,cpu_core,cpu_model,cpu_frequency,ram_capacity,display_size,pc_name,family,title
270345,0,intel,i5,0,0,0,0,0,0,best aspire cube intel 6885 intel frame quad i5 1tb and - switching 500gb 2.90
163850,0,intel,0,0,0,0,0,0,0,"panasonic latitude 14 b5232 - solid duo (bx80621e52640) 160gb : intel dvdrw | laptop,14 laptop,kids / anodized netbook - 7 8)"
180242,0,amd,0,0,0,0,0,0,0,panasonic 667374-b21 toshiba 2325 pc amd led 2 i5 500gb - 4 500gb - 7 64-bit wireless cream ebay direct product
712728,0,0,0,0,0,0,0,0,0,64-bit t540p / n7110 wifi | us 8gb hd laptop notebook 4600u miniprice.ca w 5 win d2500 | ram 4 inspiron
729116,dell,intel,i5,0,0,0,0,0,0,dell google 1737 7000 chromebook i5 (67y2625) core android 128gb | computers 1tb ram ebay 4 8 lenovo ebay
1212452,lenovo,intel,i3,0,0,0,0,3721,0,"lenovo precision core 3721 intel xga mini 3 - camera ram 6gb core ssd tray hdd, i3 computer,13.3 ebay high"
1179685,lenovo,intel,i5,3320m,0,4,12.5,2324,x230,"lenovo thinkpad x230 2324 - 12.5"" - core i5 3320m - windows 8 pro 64-bit / windows 7 pro 64-bit downgrade - 4 gb ram - 500 gb hdd - vology"
458792,0,intel,i5,0,0,0,0,0,0,"panasonic toughbook x2 13 e5430, 2 - foundation 8gb intel i5 kb 8 laptop | | phone ebay"
1187888,acer,0,0,0,0,0,14,v7482,aspire,amazon.com : acer aspire v7-482pg-5842 14-inch touchscreen ultrabook (cool steel) : computers & accessories
524337,0,intel,i3,0,0,0,0,0,0,amazon.com thinkpad x230 laptop 4900mq 2.2 i3 core 4gb 320gb black | 128gb - 64-bit 6gb
966706,0,intel,0,0,0,0,0,0,0,win | in core multifunction ghz on 2014 ram (intel cf-53sslkk1m - android pro wintouch office ddr3 - ion
1212467,hp,intel,0,4300u,0,0,0,1080p,0,"hp laptop air thinkpad hard 512 laptop : free 4300u : hdd,dvd-rw,wifi,webcam,bluetooth,1080p ebay intel ram chrgr 80gb ebay on laptops alibaba.com notebooks price panasonic ram - 6.5a computer"
598072,lenovo,intel,i7,3667u,0,8,14,3444,x1 carbon,"lenovo thinkpad x1 carbon 3444 - 14"" - core i7 3667u - windows 8 pro 64-bit - 8 gb ram - 180 gb ssd - vology"
81979,lenovo,intel,i5,0,0,0,0,0,0,"lenovo 320gb - dh31t 20c6008xus core 2 parts - | i5 2 lenovo & - product 4 | hd mid,laptop,mid premium"
598082,dell,0,0,0,0,0,0,0,0,"dell thinkpad 8530w core 13.3inch 1 6"" core 66 4900mq - core processor/8gb ebay - 6gb ebay | ebay ebay computers / mini computers computers - product - : portable vology"
1073224,lenovo,intel,pentium,0,0,0,0,0,0,2 11 lenovo atom pentium 4 notebook duo hp 4gb |
925773,lenovo,intel,i7,0,2.33,0,17.3,1600,0,lenovo : c404-9ud vology 17.3-inch i7 camera 2.33ghz laptop 9 - in ddr3-1600/pc3-12800 used 1.90 | -
1024080,lenovo,intel,i7,3667u,0,8,14,3444,x1 carbon,"lenovo thinkpad x1 carbon 3444 - 14"" - core i7 3667u - windows 8 pro 64-bit - 8 gb ram - 240 gb ssd - vology"
122978,lenovo,intel,centrino,0,0,0,0,0,0,"lenovo 2.5"" hot-swap ideapad notebook grade centrino computers use 500gb 00ghz buy 66ghz wty 8 - - ram ebay china 500"
114795,lenovo,0,0,0,2.40,8,0,0,0,"lenovo c7m98up#aba m6800 2 3"" | - core 2 2 webcam 8gb ram gb australia dvd ebay 2.4ghz : laptops,famous ghz 4 4 hdd computer accessories 8"
696428,hp,intel,i5,0,0,0,0,0,0,hp | c140919 i5 ultra led china 8 : accessories - gigs 9 laptop 1.90 refurbished 4gb - ram | xp 500
172152,0,0,0,0,0,0,0,0,0,"panasonic netbook raid vology inch core 1 | 160g core2duo 16,9"""
925823,0,0,0,0,0,0,15.6,0,0,"amazon.com vaio e5504 laptop 2ghz only hd (1920x1080) duo (ips) d2500 2 ebay 15.6"" (4 ssd 886227298273 1.86 - & computer - - - : : gt/s pro - vology"
1081472,hp,intel,0,0,0,0,0,0,0,"hp cf-195fwaxlm t420 intel 6"" 83 core vology core - - drive ghz ultrabook | & cam pro windows 500 leopard-009 1.90 product market gb ssd ram intel"
843907,lenovo,intel,i3,0,0,0,0,0,0,"lenovo aspire 17r 2 - hdd i3 1 notebook ram ram, 500gb i5-4300m 64-bit - 4 screen dual china - computers,wholesale pc hdd"
401549,0,0,0,0,0,0,0,0,0,500 4530s gt notebook - win8 1tb dvd universal - ram product johannesburg 034 computers pictures dvd 3gb 5ghz - cf-c2acaazcm gb mygofer.com 180 notebooks hd 870m 16gb panasonic 160gb china
884883,lenovo,intel,i5,3320m,0,4,12.5,2325,x230,"lenovo thinkpad x230 2325 - 12.5"" - core i5 3320m - windows 7 pro 64-bit - 4 gb ram - 500 gb hdd - vology"
401556,hp,0,0,0,0,0,0,0,0,- pro led ebay 4 40gb c2d | on atom hp 1gb smt700ntsaxar w520 total 7 computers - 840 notebook webcam 11 in core
1212563,lenovo,intel,i5,3427u,0,4,14,3460,x1 carbon,"lenovo thinkpad x1 carbon touch 3460 - 14"" - core i5 3427u - windows 8 pro 64-bit - 4 gb ram - 240 gb ssd - vology"
1171613,lenovo,0,0,0,0,0,0,2520,0,"lenovo series 8470p 11 air 4800m 2520 1 core - inch pricing ghz ddr3,"
1147038,acer,intel,i3,2348m,0,4,15.6,e1571,aspire,"amazon.com : lb1 high performance new acer black/silver aspire e e1-571-6607 15.6"" laptop pc with intel core i3-2348m processor 4gb memory 500gb hard drive and windows 7 home premium 64-bit high end professional audiophile wireless bluetooth mini speaker portable with built-in microphone and micro sd card slot (silver) : computers & accessories"
704675,0,amd,phenom,0,0,0,0,0,0,paypal cf-31wbl751m gb thinkpad i7 ebay 1866mhz kit phenom ce ghz pro dvd dv7 xga ebay pdw0au00601f ghz ebay 500 computers computers hd - ram 7 gb graphics
1007779,hp,0,0,0,0,0,14,0,0,"14"" ux21erf t430s 2441 core hp ssdâdvdrwâwin7âoffice2010âwifinâhdmi"
286888,lenovo,intel,i3,0,0,0,0,0,0,"hdd, lenovo 2740p : computer android - (81y6554) 20cd 7 notebook i5 250gb i5-4300m | latitude i3"
385194,lenovo,0,0,0,0,0,15.6,0,0,"lenovo elitedisplay - years edition 3"" 500 15.6-inch dvd usb office details 500gb ghz nvidia star® mediatek mygofer.com ram"
467117,hp,intel,i7,0,0,0,0,3320m,0,"hp : 450 led laptop 250gb 2gb gb core 3320m i7 windows | chinese dvd - laptops buy core 884942262777 - gb bdre product 7 60, nvidia, comparatif"
368813,hp,0,0,0,0,0,0,0,0,hp latitude 17 touch refurbished pc touch 7 core m 3427u 3g full condition 128 wifi ray laptops
204975,lenovo,intel,i5,3320m,0,4,12.5,3438,x230,"lenovo thinkpad x230 tablet 3438 - 12.5"" - core i5 3320m - windows 7 pro 64-bit - 4 gb ram - 500 gb hdd - vology"
