id,name,cluster
139267,SONY CARTE LINE USB EXTREME 64 + C10 (1353969) 128 - SD,1
865513,sony line 128 + extreme sd usb c10 (1353969) carte - 64,1
270354,"Toshiba SDHC EXCERIA PRO 64GB, silber",2
997247,"Toshiba EXCERIA PRO - N401 64GB SDXC UHS-I Class 3 memory card - memory cards (64 GB, SDXC, Class 3, 95 MB/s, 75 MB/s, UHS-I)",2
415812,"Toshiba SDHC EXCERIA PRO 64GB, silber",2
1185121,"Toshiba Scheda di Memoria SDXC 64 GB, EXCeria, 95 Mb/s, UHS-I, U3, Nero/Argento",2
577588,Toshiba Exceria Pro N401 64GB SD Memory Card 95 MB/s 4K HD - THN-N401S0640E4,2
864807,"Toshiba Exceria Pro N401 SDXC kort 64 GB - Minneskort, USB-minne",2
469315,Toshiba Exceria Pro N401 64GB SD Memory Card 95 MB/s 4K HD - THN-N401S0640E4,2
1048089,"Toshiba Exceria Pro N401 SDXC 64GB UHS-I U3 Speicherkarte (bis zu 95MB/Sek. lesen),Toshiba,THN-N401S0640E4",2
835116,"Toshiba Exceria Pro N401 SDXC kort 64 GB - Minneskort, USB-minne",2
1081150,Toshiba Exceria Pro N401 SDXC 64 GB UHS-I U3 Class 10,2
864809,"SANDISK USB USB 48MB/s, m3.0 GB de bis MICRO USB",3
303124,"SANDISK SF32UX, USB USB m3.0 USB bis de GB MICRO 48MB/s,",3
51521,"16gb micro pro microsdhc 16gb flair sdhc speed, brand",4
647192,"Brand micro Pro microSDHC 16gb FLAIR 16GB Speed, sdhc",4
912267,"TOSHIBA EXCERIA PRO N101, 64 GB",5
896202,Toshiba THN-N101K0640E6 64GB Exceria Pro N101 SD Karte,5
563488,Toshiba Exceria Pro N101 64GB SD Memory Card 260 MB/s 4K HD - THN-N101K0640E6,5
366714,Toshiba EXCERIA PRO - carte mémoire flash - 64 Go - SDXC UHS-II,5
756693,"Toshiba 64GB Exceria PRO 64GB SDHC UHS Clase 3 memoria flash - Tarjeta de memoria (64 GB, SDHC, Clase 3, 260 MB/s, 240 MB/s, UHS)",5
1150933,"Toshiba 64GB Exceria PRO 64GB SDHC UHS Class 3 memory card - memory cards (64 GB, SDHC, Class 3, 260 MB/s, 240 MB/s, UHS)",5
701796,"TOSHIBA EXCERIA PRO N101, 64 GB",5
733057,Tesco direct: Toshiba 64GB Exceria PRO SDHC UHS Class 3 memory card,5
49177,Toshiba Exceria Pro N101 64GB SD Memory Card 260 MB/s 4K HD - THN-N101K0640E6,5
256056,"SANDISK Cruzer&reg; Glide&trade; USB Flash-Laufwerk, 256 GB",6
1059756,SanDisk Cruzer Glide - Memoria USB de 256 GB con USB 2.0,6
336140,SanDisk Cruzer Glide 256 GB USB-Flash-Laufwerk USB 2.0,6
537793,"Sandisk Cruzer Glide 256 GB 256GB USB 2.0 Negro, Rojo unidad flash USB en Fnac.es",6
164122,SanDisk Cruzer Glide 256 GB USB 2.0 Flash Drive,6
712019,"Sandisk Cruzer Glide 256Go USB 2.0 Type A Noir, Rouge lecteur USB flash - lecteurs USB flash (256 Go, USB 2.0, Type A, Slide, Noir, Rouge, 0 - 45 °C)",6
634606,"SanDisk Cruzer Glide 256 GB USB 2.0 Flash Drive,SanDisk,SDCZ60-256G-B35",6
301411,SANDISK SDCZ60-256G-A46 256GB Cruzer Glide(TM) USB Flash Drive,6
704160,SanDisk SDCZ60–256 g-a46 256 GB Cruzer Glide (TM) USB Flash Drive,6
737304,SanDisk Cruzer Glide Chiavetta USB 2.0 256 GB,6
657984,USB STICK CRUIZER GLIDE 256GB,6
