lid,rid
250668,696910
756475,1010448
306869,756475
136104,756475
306869,1010448
136104,1010448
136104,306869
18404,713104
257037,555485
281439,294543
269864,536191
864817,965327
158784,173012
731263,949166
561697,1223154
874722,1101881
17366,240609
331838,651639
122043,446507
75903,1181675
55791,679522
519395,1088900
271364,657437
26755,515467
284379,637340
86181,197042
486357,1140693
795180,1043373
1114862,1164020
406425,1113291
270197,316167
303592,921873
618417,936634
887083,900555
120437,895801
488226,1213120
243665,247053
490010,1014370
1014574,1033385
872539,1055887
482926,937289
643210,727705
180501,742816
79854,728442
118025,725185
344706,475036
400541,1200304
59153,130417
808540,1114445
82933,1053797
834317,980943
21073,392202
457119,927402
52006,501236
472984,792321
859941,1196506
388352,1202333
110551,388352
110551,1202333
162979,767524
486154,745880
365094,448738
389770,852468
30783,1023455
812521,1033600
200629,233180
923409,1151707
54240,145821
2376,135117
695891,802681
10448,1207994
234965,990433
131856,291464
692449,947686
680696,684716
692334,1149773
236010,741654
184485,1133457
207461,657978
657978,1016504
207461,1016504
972646,1115465
1021669,1139326
184570,275791
354546,1191811
356571,858133
159134,284046
561607,1117553
423218,1195862
89391,406887
817262,914152
284669,575124
385194,1023641
1034750,1144599
297942,310848
9664,408600
348909,633806
542235,985446
39018,776338
243255,695104
85149,933048
783266,933048
327240,933048
298498,933048
933048,1063126
933048,1028923
300302,933048
353187,933048
933048,1097340
665008,933048
251316,933048
27744,933048
933048,962676
933048,1176803
85149,783266
85149,327240
85149,298498
85149,1063126
85149,1028923
85149,300302
85149,353187
85149,1097340
85149,665008
85149,251316
27744,85149
85149,962676
85149,1176803
327240,783266
298498,783266
783266,1063126
783266,1028923
300302,783266
353187,783266
783266,1097340
665008,783266
251316,783266
27744,783266
783266,962676
783266,1176803
298498,327240
327240,1063126
327240,1028923
300302,327240
327240,353187
327240,1097340
327240,665008
251316,327240
27744,327240
327240,962676
327240,1176803
298498,1063126
298498,1028923
298498,300302
298498,353187
298498,1097340
298498,665008
251316,298498
27744,298498
298498,962676
298498,1176803
1028923,1063126
300302,1063126
353187,1063126
1063126,1097340
665008,1063126
251316,1063126
27744,1063126
962676,1063126
1063126,1176803
300302,1028923
353187,1028923
1028923,1097340
665008,1028923
251316,1028923
27744,1028923
962676,1028923
1028923,1176803
300302,353187
300302,1097340
300302,665008
251316,300302
27744,300302
300302,962676
300302,1176803
353187,1097340
353187,665008
251316,353187
27744,353187
353187,962676
353187,1176803
665008,1097340
251316,1097340
27744,1097340
962676,1097340
1097340,1176803
251316,665008
27744,665008
665008,962676
665008,1176803
27744,251316
251316,962676
251316,1176803
27744,962676
27744,1176803
962676,1176803
417730,769802
89906,785848
360898,1162547
41434,1197530
1440,898548
1068717,1190080
326163,994595
252150,326870
251063,941749
186384,791068
791068,813521
791068,908878
186384,813521
186384,908878
813521,908878
61863,532786
140673,582449
792977,1036472
793360,1036472
792977,793360
128045,910630
76617,732934
76617,568114
76617,639640
76617,204975
76617,392281
76617,104977
76617,1083209
76617,579374
76617,611004
76617,626577
568114,732934
639640,732934
204975,732934
392281,732934
104977,732934
732934,1083209
579374,732934
611004,732934
626577,732934
568114,639640
204975,568114
392281,568114
104977,568114
568114,1083209
568114,579374
568114,611004
568114,626577
204975,639640
392281,639640
104977,639640
639640,1083209
579374,639640
611004,639640
626577,639640
204975,392281
104977,204975
204975,1083209
204975,579374
204975,611004
204975,626577
104977,392281
392281,1083209
392281,579374
392281,611004
392281,626577
104977,1083209
104977,579374
104977,611004
104977,626577
579374,1083209
611004,1083209
626577,1083209
579374,611004
579374,626577
611004,626577
707777,826955
826955,1062170
826955,984141
282810,826955
826955,1101685
418025,826955
165007,826955
428253,826955
791724,826955
826955,1151303
427882,826955
698133,826955
826955,896453
826955,906707
695299,826955
683141,826955
826955,967246
459475,826955
63351,826955
726294,826955
543560,826955
617298,826955
826955,1073700
376435,826955
826955,1155623
539005,826955
826955,1002305
328181,826955
525270,826955
707777,1062170
707777,984141
282810,707777
707777,1101685
418025,707777
165007,707777
428253,707777
707777,791724
707777,1151303
427882,707777
698133,707777
707777,896453
707777,906707
695299,707777
683141,707777
707777,967246
459475,707777
63351,707777
707777,726294
543560,707777
617298,707777
707777,1073700
376435,707777
707777,1155623
539005,707777
707777,1002305
328181,707777
525270,707777
984141,1062170
282810,1062170
1062170,1101685
418025,1062170
165007,1062170
428253,1062170
791724,1062170
1062170,1151303
427882,1062170
698133,1062170
896453,1062170
906707,1062170
695299,1062170
683141,1062170
967246,1062170
459475,1062170
63351,1062170
726294,1062170
543560,1062170
617298,1062170
1062170,1073700
376435,1062170
1062170,1155623
539005,1062170
1002305,1062170
328181,1062170
525270,1062170
282810,984141
984141,1101685
418025,984141
165007,984141
428253,984141
791724,984141
984141,1151303
427882,984141
698133,984141
896453,984141
906707,984141
695299,984141
683141,984141
967246,984141
459475,984141
63351,984141
726294,984141
543560,984141
617298,984141
984141,1073700
376435,984141
984141,1155623
539005,984141
984141,1002305
328181,984141
525270,984141
282810,1101685
282810,418025
165007,282810
282810,428253
282810,791724
282810,1151303
282810,427882
282810,698133
282810,896453
282810,906707
282810,695299
282810,683141
282810,967246
282810,459475
63351,282810
282810,726294
282810,543560
282810,617298
282810,1073700
282810,376435
282810,1155623
282810,539005
282810,1002305
282810,328181
282810,525270
418025,1101685
165007,1101685
428253,1101685
791724,1101685
1101685,1151303
427882,1101685
698133,1101685
896453,1101685
906707,1101685
695299,1101685
683141,1101685
967246,1101685
459475,1101685
63351,1101685
726294,1101685
543560,1101685
617298,1101685
1073700,1101685
376435,1101685
1101685,1155623
539005,1101685
1002305,1101685
328181,1101685
525270,1101685
165007,418025
418025,428253
418025,791724
418025,1151303
418025,427882
418025,698133
418025,896453
418025,906707
418025,695299
418025,683141
418025,967246
418025,459475
63351,418025
418025,726294
418025,543560
418025,617298
418025,1073700
376435,418025
418025,1155623
418025,539005
418025,1002305
328181,418025
418025,525270
165007,428253
165007,791724
165007,1151303
165007,427882
165007,698133
165007,896453
165007,906707
165007,695299
165007,683141
165007,967246
165007,459475
63351,165007
165007,726294
165007,543560
165007,617298
165007,1073700
165007,376435
165007,1155623
165007,539005
165007,1002305
165007,328181
165007,525270
428253,791724
428253,1151303
427882,428253
428253,698133
428253,896453
428253,906707
428253,695299
428253,683141
428253,967246
428253,459475
63351,428253
428253,726294
428253,543560
428253,617298
428253,1073700
376435,428253
428253,1155623
428253,539005
428253,1002305
328181,428253
428253,525270
791724,1151303
427882,791724
698133,791724
791724,896453
791724,906707
695299,791724
683141,791724
791724,967246
459475,791724
63351,791724
726294,791724
543560,791724
617298,791724
791724,1073700
376435,791724
791724,1155623
539005,791724
791724,1002305
328181,791724
525270,791724
427882,1151303
698133,1151303
896453,1151303
906707,1151303
695299,1151303
683141,1151303
967246,1151303
459475,1151303
63351,1151303
726294,1151303
543560,1151303
617298,1151303
1073700,1151303
376435,1151303
1151303,1155623
539005,1151303
1002305,1151303
328181,1151303
525270,1151303
427882,698133
427882,896453
427882,906707
427882,695299
427882,683141
427882,967246
427882,459475
63351,427882
427882,726294
427882,543560
427882,617298
427882,1073700
376435,427882
427882,1155623
427882,539005
427882,1002305
328181,427882
427882,525270
698133,896453
698133,906707
695299,698133
683141,698133
698133,967246
459475,698133
63351,698133
698133,726294
543560,698133
617298,698133
698133,1073700
376435,698133
698133,1155623
539005,698133
698133,1002305
328181,698133
525270,698133
896453,906707
695299,896453
683141,896453
896453,967246
459475,896453
63351,896453
726294,896453
543560,896453
617298,896453
896453,1073700
376435,896453
896453,1155623
539005,896453
896453,1002305
328181,896453
525270,896453
695299,906707
683141,906707
906707,967246
459475,906707
63351,906707
726294,906707
543560,906707
617298,906707
906707,1073700
376435,906707
906707,1155623
539005,906707
906707,1002305
328181,906707
525270,906707
683141,695299
695299,967246
459475,695299
63351,695299
695299,726294
543560,695299
617298,695299
695299,1073700
376435,695299
695299,1155623
539005,695299
695299,1002305
328181,695299
525270,695299
683141,967246
459475,683141
63351,683141
683141,726294
543560,683141
617298,683141
683141,1073700
376435,683141
683141,1155623
539005,683141
683141,1002305
328181,683141
525270,683141
459475,967246
63351,967246
726294,967246
543560,967246
617298,967246
967246,1073700
376435,967246
967246,1155623
539005,967246
967246,1002305
328181,967246
525270,967246
63351,459475
459475,726294
459475,543560
459475,617298
459475,1073700
376435,459475
459475,1155623
459475,539005
459475,1002305
328181,459475
459475,525270
63351,726294
63351,543560
63351,617298
63351,1073700
63351,376435
63351,1155623
63351,539005
63351,1002305
63351,328181
63351,525270
543560,726294
617298,726294
726294,1073700
376435,726294
726294,1155623
539005,726294
726294,1002305
328181,726294
525270,726294
543560,617298
543560,1073700
376435,543560
543560,1155623
539005,543560
543560,1002305
328181,543560
525270,543560
617298,1073700
376435,617298
617298,1155623
539005,617298
617298,1002305
328181,617298
525270,617298
376435,1073700
1073700,1155623
539005,1073700
1002305,1073700
328181,1073700
525270,1073700
376435,1155623
376435,539005
376435,1002305
328181,376435
376435,525270
539005,1155623
1002305,1155623
328181,1155623
525270,1155623
539005,1002305
328181,539005
525270,539005
328181,1002305
525270,1002305
328181,525270
794998,998816
39067,132233
729116,1131636
997206,1030741
401077,774885
232532,841563
152837,1037083
786668,1015253
734263,1170854
598082,703113
396084,840058
86282,898744
8526,638571
407072,469487
651208,1110238
400736,749143
970273,1127759
41182,1134633
907337,1134633
41182,907337
272241,469554
654519,1187888
654519,1197762
1187888,1197762
161683,1120366
988586,1147313
74573,953269
494677,716008
641641,827382
149517,465662
371832,1074019
641362,1157004
343554,567790
511436,558732
703998,1197442
787351,1010992
528131,1061016
500039,716113
432286,716113
5585,716113
716113,975105
439649,716113
716113,953844
541098,716113
716113,840632
555407,716113
46334,716113
716113,769399
716113,923715
228806,716113
160698,716113
602914,716113
716113,787055
432286,500039
5585,500039
500039,975105
439649,500039
500039,953844
500039,541098
500039,840632
500039,555407
46334,500039
500039,769399
500039,923715
228806,500039
160698,500039
500039,602914
500039,787055
5585,432286
432286,975105
432286,439649
432286,953844
432286,541098
432286,840632
432286,555407
46334,432286
432286,769399
432286,923715
228806,432286
160698,432286
432286,602914
432286,787055
5585,975105
5585,439649
5585,953844
5585,541098
5585,840632
5585,555407
5585,46334
5585,769399
5585,923715
5585,228806
5585,160698
5585,602914
5585,787055
439649,975105
953844,975105
541098,975105
840632,975105
555407,975105
46334,975105
769399,975105
923715,975105
228806,975105
160698,975105
602914,975105
787055,975105
439649,953844
439649,541098
439649,840632
439649,555407
46334,439649
439649,769399
439649,923715
228806,439649
160698,439649
439649,602914
439649,787055
541098,953844
840632,953844
555407,953844
46334,953844
769399,953844
923715,953844
228806,953844
160698,953844
602914,953844
787055,953844
541098,840632
541098,555407
46334,541098
541098,769399
541098,923715
228806,541098
160698,541098
541098,602914
541098,787055
555407,840632
46334,840632
769399,840632
840632,923715
228806,840632
160698,840632
602914,840632
787055,840632
46334,555407
555407,769399
555407,923715
228806,555407
160698,555407
555407,602914
555407,787055
46334,769399
46334,923715
46334,228806
46334,160698
46334,602914
46334,787055
769399,923715
228806,769399
160698,769399
602914,769399
769399,787055
228806,923715
160698,923715
602914,923715
787055,923715
160698,228806
228806,602914
228806,787055
160698,602914
160698,787055
602914,787055
679470,1192833
323095,922697
922697,1035512
484022,922697
144855,922697
400589,922697
777209,922697
429726,922697
604087,922697
922697,1054506
922697,951273
366473,922697
922697,1046485
580720,922697
